,date,species,bands,sx,sy
4469,7/8/2019,GRSP,RS-OY,707982,4328251
4474,7/8/2019,GRSP,RS-OY,707986,4328259
4271,6/10/2019,GRSP,RS-OY,712141,4329255
4264,6/10/2019,GRSP,RS-OY,712041,4329382
4269,6/10/2019,GRSP,RS-OY,712037,4329383
4259,6/10/2019,GRSP,RS-OY,712042,4329393
3581,6/5/2018,GRSP,RS-OY,707876,4329565
4171,5/29/2019,GRSP,RS-OY,707891,4329569
3580,6/5/2018,GRSP,RS-OY,707857,4329594
3641,6/13/2018,GRSP,RS-OY,707846,4329630
3640,6/13/2018,GRSP,RS-OY,707869,4329631
3642,6/13/2018,GRSP,RS-OY,707852,4329637
3643,6/13/2018,GRSP,RS-OY,707852,4329637
4209,6/5/2019,GRSP,RS-PG,713823,4335429
2502,7/21/2016,GRSP,RS-PK,707108,4330030
2775,6/1/2017,GRSP,RS-PK,707169,4330135
2686,5/15/2017,GRSP,RS-PP,707986,4329537
2677,5/13/2017,GRSP,RS-PY,711026,4330756
971,6/16/2015,GRSP,RS-RA,713466,4334194
988,6/17/2015,GRSP,RS-RB,710901,4331523
1559,7/28/2015,GRSP,RS-RD,713360,4334501
4921,7/17/2020,GRSP,RS-RG,711882,4329468
4291,6/12/2019,GRSP,RS-RG,713740,4335472
4280,6/12/2019,GRSP,RS-RG,713721,4335504
4281,6/12/2019,GRSP,RS-RG,713720,4335504
2340,7/4/2016,GRSP,RS-RK,711685,4329330
4141,5/23/2019,GRSP,RS-RO,712699,4329459
2786,6/2/2017,GRSP,RS-RR,708765,4328730
2793,6/2/2017,GRSP,RS-RR,708742,4328737
2792,6/2/2017,GRSP,RS-RR,708740,4328759
2795,6/2/2017,GRSP,RS-RR,708760,4328773
1009,6/22/2015,GRSP,RS-RR,712885,4334503
3054,7/1/2017,GRSP,RS-RW,706633,4329682
1182,7/5/2015,GRSP,RS-RY,713601,4335198
2508,7/26/2016,GRSP,RS-RY,713517,4335329
2641,5/7/2017,GRSP,RS-RY,713649,4335329
2649,5/7/2017,GRSP,RS-RY,713649,4335329
2942,6/15/2017,GRSP,RS-RY,713508,4335333
2939,6/15/2017,GRSP,RS-RY,713530,4335337
3291,8/1/2017,GRSP,RS-WD,712074,4329192
3288,8/1/2017,GRSP,RS-WD,712077,4329229
3196,7/14/2017,GRSP,RS-WD,712013,4329340
3176,7/14/2017,GRSP,RS-WD,712006,4329361
3186,7/14/2017,GRSP,RS-WD,712002,4329378
3191,7/14/2017,GRSP,RS-WD,712001,4329385
2919,6/15/2017,GRSP,RS-WD,711992,4329387
2765,5/29/2017,GRSP,RS-WD,711135,4330644
2110,6/16/2016,GRSP,RS-WD,713291,4334364
2178,6/20/2016,GRSP,RS-WD,713226,4334374
2196,6/20/2016,GRSP,RS-WD,713232,4334392
