,date,species,bands,sx,sy
56,6/5/2021,EAME,DY-SY,712112,4329356
19,5/19/2021,EAME,SY-DY,712127,4329285
90,6/25/2021,EAME,DY-SY,712144,4329341
120,7/12/2021,EAME,KO-SG,712151,4330046
110,7/6/2021,EAME,DY-SY,712172,4329402
52,6/4/2021,EAME,KO-SG,712173,4330104
6,5/12/2021,EAME,RS-DY,712182,4330181
79,6/21/2021,EAME,KO-SG,712198,4330122
112,7/6/2021,EAME,DY-SY,712200,4329398
85,6/22/2021,EAME,BA-BS,712217,4330169
96,6/29/2021,EAME,DY-SY,712218,4329403
111,7/6/2021,EAME,DY-SY,712218,4329405
33,5/27/2021,EAME,DY-SY,712220,4329216
102,7/1/2021,EAME,KO-SG,712221,4330109
35,5/27/2021,EAME,DY-SY,712227,4329309
78,6/21/2021,EAME,KO-SG,712250,4330121
83,6/21/2021,EAME,KO-SG,712292,4330110
37,5/27/2021,EAME,DY-SY,712311,4329144
55,6/5/2021,EAME,DY-SY,712360,4329217
125,7/16/2021,EAME,DY-SY,712360,4329236
39,5/27/2021,EAME,DY-SY,712421,4329205
53,6/4/2021,EAME,BS-RW,712474,4330186
98,6/29/2021,EAME,SD-KO,712479,4329650
9,5/17/2021,EAME,KR-SD,712480,4329648
10,5/17/2021,EAME,DY-SY,712482,4329340
17,5/19/2021,EAME,BS-OW,712488,4330242
94,6/29/2021,EAME,SD-KO,712494,4329562
12,5/19/2021,EAME,BS-OW,712496,4330222
18,5/19/2021,EAME,BS-OW,712506,4330245
95,6/29/2021,EAME,SD-KO,712518,4329593
65,6/10/2021,EAME,SD-KO,712529,4329590
15,5/19/2021,EAME,BS-OW,712533,4330235
20,5/19/2021,EAME,BS-OW,712542,4330250
128,7/26/2021,EAME,DY-SY,712544,4329280
89,6/25/2021,EAME,KO-SY,712566,4329250
124,7/12/2021,EAME,BS-OW,712594,4330171
4,5/6/2021,EAME,BY-WS,712595,4330164
3,5/6/2021,EAME,SB-OW,712595,4330164
67,6/14/2021,EAME,GA-SO,712599,4330496
68,6/14/2021,EAME,SR-RG,712599,4330496
123,7/12/2021,EAME,BS-OW,712628,4330176
31,5/26/2021,EAME,BS-RW,712635,4330096
64,6/10/2021,EAME,BS-OW,712642,4330150
80,6/21/2021,EAME,KO-SG,712648,4330482
81,6/21/2021,EAME,SR-RG,712648,4330482
63,6/10/2021,EAME,BS-OW,712650,4330058
61,6/9/2021,EAME,SA-AW,712657,4329517
38,5/27/2021,EAME,SK-GO,712658,4330295
40,5/27/2021,EAME,SK-GO,712667,4330320
77,6/19/2021,EAME,SG-KY,712669,4329577
11,5/18/2021,EAME,AS-BW,712710,4330597
71,6/15/2021,EAME,KO-SY,712728,4329241
62,6/10/2021,EAME,KO-SY,712730,4329445
41,5/27/2021,EAME,SK-GO,712738,4330302
51,6/4/2021,EAME,KO-SY,712750,4329396
5,5/6/2021,EAME,RW-AS,713594,4335073
