,date,species,bands,sx,sy,time
652,6/29/2021,GRSP,RP-PS,712765,4330712,2646
279,6/1/2021,GRSP,RP-PS,712767,4330762,2618
645,6/29/2021,GRSP,DS-YW,712769,4331503,2646
836,7/21/2021,GRSP,OP-SP,712771,4331336,2668
561,6/21/2021,GRSP,SO-BK,712772,4330293,2638
848,7/21/2021,GRSP,OP-SP,712774,4331353,2668
516,6/17/2021,GRSP,RO-PS,712774,4330705,2634
553,6/21/2021,GRSP,SO-BK,712775,4330282,2638
849,7/21/2021,GRSP,YS-WB,712777,4330744,2668
722,7/7/2021,GRSP,OP-SP,712778,4331370,2654
732,7/9/2021,GRSP,RP-PS,712778,4330702,2656
344,6/4/2021,GRSP,SO-WK,712778,4330329,2621
851,7/21/2021,GRSP,RK-SY,712780,4331146,2668
351,6/4/2021,GRSP,SO-WK,712780,4330343,2621
91,5/18/2021,GRSP,RP-PS,712782,4330738,2604
